da_name,da_id,da_time,aa_name,aa_id,aa_time,duration,airplane,airline,airline_logo,travel_class,flight_number,additional_information
Ga hàng hoá - cảng hàng không quốc tế Phú Bài,HUI,2024-10-05 09:45,Cảng hàng không quốc tế Tân Sơn Nhất,SGN,2024-10-05 11:10,85,Airbus A321,Vietjet,https://www.gstatic.com/flights/airline_logos/70px/VJ.png,Economy,VJ 303,"Below average legroom (71 cm), Carbon emissions estimate: 71 kg"
Cảng hàng không quốc tế Tân Sơn Nhất,SGN,2024-10-05 12:35,Cảng Hàng Không Quốc Tế Phú Quốc,PQC,2024-10-05 13:35,60,Airbus A321,Vietjet,https://www.gstatic.com/flights/airline_logos/70px/VJ.png,Economy,VJ 327,"Below average legroom (71 cm), Carbon emissions estimate: 48 kg"
