da_name,da_id,da_time,aa_name,aa_id,aa_time,duration,airplane,airline,airline_logo,travel_class,flight_number,additional_information
Cảng hàng không quốc tế Đà Nẵng,DAD,2024-10-05 20:30,Sân bay quốc tế Nội Bài,HAN,2024-10-05 21:55,85,Airbus A321,Vietnam Airlines,https://www.gstatic.com/flights/airline_logos/70px/VN.png,Economy,VN 192,"Average legroom (79 cm), Stream media to your device, Carbon emissions estimate: 88 kg"
Sân bay quốc tế Nội Bài,HAN,2024-10-06 08:50,Sân bay Suvarnabhumi,BKK,2024-10-06 10:50,120,Airbus A321,Vietnam Airlines,https://www.gstatic.com/flights/airline_logos/70px/VN.png,Economy,VN 611,"Average legroom (79 cm), Stream media to your device, Carbon emissions estimate: 107 kg"
Sân bay Suvarnabhumi,BKK,2024-10-06 14:25,Cảng hàng không quốc tế Tân Sơn Nhất,SGN,2024-10-06 16:15,110,Airbus A321,Vietnam Airlines,https://www.gstatic.com/flights/airline_logos/70px/VN.png,Economy,VN 604,"Average legroom (79 cm), Stream media to your device, Carbon emissions estimate: 93 kg"
Cảng hàng không quốc tế Tân Sơn Nhất,SGN,2024-10-06 18:05,Cảng Hàng Không Quốc Tế Cát Bi,HPH,2024-10-06 20:05,120,Airbus A321,Vietnam Airlines,https://www.gstatic.com/flights/airline_logos/70px/VN.png,Economy,VN 1186,"Average legroom (79 cm), Stream media to your device, Carbon emissions estimate: 124 kg"
