da_name,da_id,da_time,aa_name,aa_id,aa_time,duration,airplane,airline,airline_logo,travel_class,flight_number,additional_information
Cảng Hàng Không Thọ Xuân (THD),THD,2024-10-05 14:45,Cảng hàng không quốc tế Tân Sơn Nhất,SGN,2024-10-05 16:50,125,Airbus A321,Vietnam Airlines,https://www.gstatic.com/flights/airline_logos/70px/VN.png,Economy,VN 1277,"Average legroom (79 cm), Stream media to your device, Carbon emissions estimate: 121 kg"
Cảng hàng không quốc tế Tân Sơn Nhất,SGN,2024-10-06 08:45,Sân bay Suvarnabhumi,BKK,2024-10-06 10:20,95,Airbus A321,Vietnam Airlines,https://www.gstatic.com/flights/airline_logos/70px/VN.png,Economy,VN 601,"Average legroom (79 cm), Stream media to your device, Carbon emissions estimate: 93 kg"
Sân bay Suvarnabhumi,BKK,2024-10-06 11:55,Sân bay quốc tế Nội Bài,HAN,2024-10-06 13:50,115,Airbus A321,Vietnam Airlines,https://www.gstatic.com/flights/airline_logos/70px/VN.png,Economy,VN 610,"Average legroom (79 cm), Stream media to your device, Carbon emissions estimate: 107 kg"
Sân bay quốc tế Nội Bài,HAN,2024-10-06 16:20,Cảng hàng không quốc tế Đà Nẵng,DAD,2024-10-06 17:45,85,Airbus A321,Vietnam Airlines,https://www.gstatic.com/flights/airline_logos/70px/VN.png,Economy,VN 181,"Average legroom (79 cm), Stream media to your device, Carbon emissions estimate: 85 kg"
