da_name,da_id,da_time,aa_name,aa_id,aa_time,duration,airplane,airline,airline_logo,travel_class,flight_number,additional_information
Sân bay quốc tế Nội Bài,HAN,2024-10-05 16:05,Sân bay Suvarnabhumi,BKK,2024-10-05 18:05,120,Airbus A321,Vietnam Airlines,https://www.gstatic.com/flights/airline_logos/70px/VN.png,Economy,VN 619,"Average legroom (79 cm), Stream media to your device, Carbon emissions estimate: 115 kg"
Sân bay Suvarnabhumi,BKK,2024-10-06 11:20,Cảng hàng không quốc tế Tân Sơn Nhất,SGN,2024-10-06 13:10,110,Airbus A321,Vietnam Airlines,https://www.gstatic.com/flights/airline_logos/70px/VN.png,Economy,VN 600,"Average legroom (79 cm), Stream media to your device, Carbon emissions estimate: 93 kg"
Cảng hàng không quốc tế Tân Sơn Nhất,SGN,2024-10-06 15:25,Cảng Hàng Không Phù Cát,UIH,2024-10-06 16:40,75,Airbus A321,Vietnam Airlines,https://www.gstatic.com/flights/airline_logos/70px/VN.png,Economy,VN 1394,"Average legroom (79 cm), Stream media to your device, Carbon emissions estimate: 69 kg"
