da_name,da_id,da_time,aa_name,aa_id,aa_time,duration,airplane,airline,airline_logo,travel_class,flight_number,additional_information
Cảng Hàng Không Thọ Xuân (THD),THD,2024-10-05 13:10,Cảng hàng không quốc tế Tân Sơn Nhất,SGN,2024-10-05 15:10,120,Airbus A321,Vietjet,https://www.gstatic.com/flights/airline_logos/70px/VJ.png,Economy,VJ 243,"Below average legroom (71 cm), Carbon emissions estimate: 98 kg"
Cảng hàng không quốc tế Tân Sơn Nhất,SGN,2024-10-05 18:20,Cảng hàng không quốc tế Đà Nẵng,DAD,2024-10-05 19:30,70,Airbus A321,Vietnam Airlines,https://www.gstatic.com/flights/airline_logos/70px/VN.png,Economy,VN 7124,"Average legroom (79 cm), Stream media to your device, Carbon emissions estimate: 86 kg"
