da_name,da_id,da_time,aa_name,aa_id,aa_time,duration,airplane,airline,airline_logo,travel_class,flight_number,additional_information
Ga hàng hoá - cảng hàng không quốc tế Phú Bài,HUI,2024-10-05 18:30,Sân bay quốc tế Nội Bài,HAN,2024-10-05 19:50,80,Airbus A321,Vietnam Airlines,https://www.gstatic.com/flights/airline_logos/70px/VN.png,Economy,VN 1544,"Average legroom (79 cm), Stream media to your device, Carbon emissions estimate: 75 kg"
Sân bay quốc tế Nội Bài,HAN,2024-10-06 08:50,Sân bay Suvarnabhumi,BKK,2024-10-06 10:50,120,Airbus A321,Vietnam Airlines,https://www.gstatic.com/flights/airline_logos/70px/VN.png,Economy,VN 611,"Average legroom (79 cm), Stream media to your device, Carbon emissions estimate: 107 kg"
Sân bay Suvarnabhumi,BKK,2024-10-06 14:25,Cảng hàng không quốc tế Tân Sơn Nhất,SGN,2024-10-06 16:15,110,Airbus A321,Vietnam Airlines,https://www.gstatic.com/flights/airline_logos/70px/VN.png,Economy,VN 604,"Average legroom (79 cm), Stream media to your device, Carbon emissions estimate: 93 kg"
Cảng hàng không quốc tế Tân Sơn Nhất,SGN,2024-10-07 06:45,Cảng Hàng Không Thọ Xuân (THD),THD,2024-10-07 08:40,115,Airbus A321,Vietnam Airlines,https://www.gstatic.com/flights/airline_logos/70px/VN.png,Economy,VN 6430,"Average legroom (79 cm), Stream media to your device, Carbon emissions estimate: 108 kg"
