da_name,da_id,da_time,aa_name,aa_id,aa_time,duration,airplane,airline,airline_logo,travel_class,flight_number,additional_information
Cảng Hàng Không Quốc Tế Liên Khương,DLI,2024-10-05 01:20,Sân bay quốc tế Incheon,ICN,2024-10-05 08:35,315,Boeing 737,Jeju Air,https://www.gstatic.com/flights/airline_logos/70px/7C.png,Economy,7C 2312,"Below average legroom (74 cm), Carbon emissions estimate: 271 kg"
Sân bay quốc tế Incheon,ICN,2024-10-05 22:10,Cảng Hàng Không Quốc Tế Cam Ranh,CXR,2024-10-06 01:20,310,Boeing 737,Jeju Air,https://www.gstatic.com/flights/airline_logos/70px/7C.png,Economy,7C 4907,"Below average legroom (74 cm), Carbon emissions estimate: 266 kg"
