da_name,da_id,da_time,aa_name,aa_id,aa_time,duration,airplane,airline,airline_logo,travel_class,flight_number,additional_information
Cảng Hàng Không Quốc Tế Phú Quốc,PQC,2024-10-05 21:00,Sân bay quốc tế Đào Viên Đài Loan,TPE,2024-10-06 02:00,240,Airbus A321neo,STARLUX Airlines,https://www.gstatic.com/flights/airline_logos/70px/JX.png,Economy,JX 1706,"Average legroom (79 cm), Wi-Fi for a fee, In-seat USB outlet, On-demand video, Carbon emissions estimate: 187 kg"
Sân bay quốc tế Đào Viên Đài Loan,TPE,2024-10-06 09:00,Sân bay quốc tế Nội Bài,HAN,2024-10-06 11:05,185,Boeing 777,EVA Air,https://www.gstatic.com/flights/airline_logos/70px/BR.png,Economy,BR 397,"Above average legroom (81 cm), Wi-Fi for a fee, In-seat power & USB outlets, On-demand video, Carbon emissions estimate: 202 kg"
