da_name,da_id,da_time,aa_name,aa_id,aa_time,duration,airplane,airline,airline_logo,travel_class,flight_number,additional_information
Cảng hàng không quốc tế Tân Sơn Nhất,SGN,2024-10-05 07:45,Sân bay quốc tế Nội Bài,HAN,2024-10-05 09:55,130,Airbus A320,Bamboo Airways,https://www.gstatic.com/flights/airline_logos/70px/QH.png,Economy,QH 204,"Below average legroom (74 cm), Carbon emissions estimate: 109 kg"
Sân bay quốc tế Nội Bài,HAN,2024-10-05 13:15,Cảng Hàng Không Quốc Tế Cam Ranh,CXR,2024-10-05 15:10,115,Airbus A320,Bamboo Airways,https://www.gstatic.com/flights/airline_logos/70px/QH.png,Economy,QH 1415,"Below average legroom (74 cm), Carbon emissions estimate: 105 kg"
