da_name,da_id,da_time,aa_name,aa_id,aa_time,duration,airplane,airline,airline_logo,travel_class,flight_number,additional_information
Cảng hàng không quốc tế Tân Sơn Nhất,SGN,2024-10-05 18:20,Sân bay quốc tế Hồng Kông,HKG,2024-10-05 22:05,165,Airbus A330,Cathay Pacific,https://www.gstatic.com/flights/airline_logos/70px/CX.png,Economy,CX 764,"Above average legroom (81 cm), In-seat power & USB outlets, On-demand video, Carbon emissions estimate: 149 kg"
Sân bay quốc tế Hồng Kông,HKG,2024-10-06 08:45,Sân bay quốc tế Nội Bài,HAN,2024-10-06 09:55,130,Airbus A321neo,Cathay Pacific,https://www.gstatic.com/flights/airline_logos/70px/CX.png,Economy,CX 741,"Average legroom (76 cm), Wi-Fi for a fee, In-seat USB outlet, On-demand video, Carbon emissions estimate: 83 kg"
Sân bay quốc tế Nội Bài,HAN,2024-10-06 12:10,Cảng Hàng Không Quốc Tế Liên Khương,DLI,2024-10-06 14:00,110,Airbus A321,Vietnam Airlines,https://www.gstatic.com/flights/airline_logos/70px/VN.png,Economy,VN 1575,"Average legroom (79 cm), Stream media to your device, Carbon emissions estimate: 122 kg"
