da_name,da_id,da_time,aa_name,aa_id,aa_time,duration,airplane,airline,airline_logo,travel_class,flight_number,additional_information
Cảng Hàng Không Thọ Xuân (THD),THD,2024-10-05 14:45,Cảng hàng không quốc tế Tân Sơn Nhất,SGN,2024-10-05 16:50,125,Airbus A321,Vietnam Airlines,https://www.gstatic.com/flights/airline_logos/70px/VN.png,Economy,VN 1277,"Average legroom (79 cm), Stream media to your device, Carbon emissions estimate: 121 kg"
Cảng hàng không quốc tế Tân Sơn Nhất,SGN,2024-10-05 18:50,Sân bay quốc tế Nội Bài,HAN,2024-10-05 21:00,130,Airbus A321,Vietravel Airlines,https://www.gstatic.com/flights/airline_logos/70px/VU.png,Economy,VU 720,Carbon emissions estimate: 111 kg
