da_name,da_id,da_time,aa_name,aa_id,aa_time,duration,airplane,airline,airline_logo,travel_class,flight_number,additional_information
Cảng hàng không quốc tế Đà Nẵng,DAD,2024-10-05 01:00,Sân bay quốc tế Gimhae,PUS,2024-10-05 07:30,270,Airbus A321,Air Busan,https://www.gstatic.com/flights/airline_logos/70px/BX.png,Economy,BX 774,"Average legroom (79 cm), Carbon emissions estimate: 265 kg"
Sân bay quốc tế Gimhae,PUS,2024-10-05 19:55,Cảng Hàng Không Quốc Tế Cam Ranh,CXR,2024-10-05 23:05,310,Airbus A321,Air Busan,https://www.gstatic.com/flights/airline_logos/70px/BX.png,Economy,BX 751,"Below average legroom (71 cm), In-seat power & USB outlets, Carbon emissions estimate: 257 kg"
